"Alpha"	"StdDevHeuristicCost"	"AverageHeuristicCost"	"AverageExecutionTime"	"StdDevExecutionTime"
"0.05"	"322.849465076218"	"23792.27"	"6.99224"	"1.84198636325028"
"0.1"	"510.542223425252"	"24072.91"	"6.22874"	"2.41017037829279"
"0.15"	"434.15758475466"	"23799.46"	"6.55898"	"1.74268403320855"
"0.2"	"405.739388770674"	"23913.22"	"6.64087"	"1.93143665003541"
"0.25"	"563.742881462817"	"24182.94"	"5.53936"	"1.87406945719736"
"0.3"	"500.045427036384"	"24180.03"	"5.83939"	"1.50350701292013"
"0.35"	"489.808868335395"	"24395.55"	"4.73935"	"2.0343004565452"
"0.4"	"435.234752748445"	"24458.9"	"4.07862"	"1.12939180783287"
"0.45"	"407.014045335047"	"24874.87"	"3.15857"	"1.61187719293375"
"0.5"	"472.722233452162"	"24638.7"	"3.7302"	"1.74902781567361"
"0.55"	"718.415915399986"	"24925.75"	"3.6797"	"3.02284787079999"
"0.6"	"521.407481342568"	"25117.28"	"2.46897"	"2.15196148875857"
"0.65"	"497.140482761161"	"24842.02"	"2.79977"	"1.44443705196869"
"0.7"	"466.401508895501"	"25089.65"	"2.23937"	"0.790305303727616"
"0.75"	"456.266898207617"	"25228.24"	"1.6803"	"1.04918870085414"
"0.8"	"574.086838030624"	"25487.68"	"0.92972"	"1.16135545015297"
"0.85"	"554.046750644745"	"25529.09"	"1.07956"	"1.13782414563939"
"0.9"	"489.793658186792"	"25449.82"	"0.84117"	"0.645759398770161"
"0.95"	"563.808318136581"	"25520.98"	"0.76493"	"0.970145837026579"
"1"	"443.367166578672"	"25888.34"	"0.19001"	"0.844939802530332"
